id,ground_truth,F5-TTS-o,wer
1,cách để đi,Cắt để đi.,66.67
10,tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của anh được không,Vậy còn yếu tố tinh thần thì sao?,100.0
100,đầu gối có bị sưng đỏ hoặc cả hai,Quý vị có phòng dành cho một đêm không?,88.89
1000,một áp phích phim ấn độ,Thủ tục lên máy bay vào lúc 2h30,133.33
101,hút thuốc bị hạn chế trong khu vực công cộng,cô ấy đang rất mong anh,100.0
102,chẳng phải là bệnh hiểm nghèo nhưng trĩ vẫn là bệnh gây khó chịu cho bệnh nhân bởi làm cản trở công việc của họ lúc làm việc cũng như lúc ngủ họ vẫn phải lo nghĩ giáo sư nghĩa nói,Sẽ đủ sức cạnh tranh với nước ngoài.,100.0
103,chuyển máy cho ai,"Tôi muốn thực hiện một cuộc gọi điện thoại. Quốc tế, đi nhật bản cuộc gọi án là đến Tố Khiều Âu số 32928211.",600.0
104,kết quả lao động của tôi đến đâu thì tác phẩm trả lời,có tiếng rì gào từ xa đến gần.,92.31
105,khi những chiếc đĩa được dỡ bỏ lũ hà mã cũng chẳng thèm chú ý tới những chiếc nhãn đó nữa,Một số cổ động viên còn dùng những lời lẽ thu tục chụi bới lực lượng công an.,100.0
106,không vậy không sao tôi sẽ gọi ông ấy sau cảm ơn,Anh đem cho tôi một ít nước được không?,91.67
107,có giảm giá cho người cao niên không,TV Tăng Tiến đến 6.,100.0
108,hãy gọi cảnh sát ngay,Chúng tôi sẽ trả phòng khoảng giữa chưa.,160.0
109,bắt đầu đếm,Honda đấy mạnh sáng xuất ở nước ngoài.,266.67
11,đừng lo tôi vừa mới đến rồi,Cái này trên tầng 3.,100.0
110,anh có bị đau do mệt mỏi không,TV giảm âm lượng V7,100.0
111,lãi suất cho vay cũng đã giảm mạnh theo lãi huy động vốn lãi nhiều vẫn chẳng có người nào gửi cả,Con lợn rừng nháy xuống xong và chốn thoát.,100.0
112,các nhà khoa học đang tiến thêm một bước,Tôi muốn một đôi dày thể thao.,100.0
113,cùng chuẩn và ngũ hai đối tượng khác chuyên làm nhiệm vụ đưa người sang trung quốc là nguyễn vũ hải và võ cảnh dũng cùng trú tại bắc giang cũng bị cảnh sát bắt,Đầu gối có bị sưng đỏ hoặc cả 2.,100.0
114,hệ thống phòng ngự tài năng và giàu kinh nghiệm,Giờ tay lên để đồng ý.,100.0
115,sẽ đủ sức cạnh tranh với nước ngoài,Tôi cần nó trước thứ 6.,100.0
116,giơ tay lên để đồng ý,Nơi đây hiện khá yên tính.,100.0
117,vui lòng trả mười đô la,Ta hãy nghĩ một chút.,100.0
118,đây là hồi chuông cảnh báo về sự mất an toàn lưới điện trên địa bàn,Tôi muốn mua bơ.,100.0
119,ban đêm bắng cây đa,Hàng nghìn người Trung Á rồi quê hương đến Nga kiếm việc.,240.0
12,mười phút nữa vào giờ rưỡi,Chiến bay của An Khi nào?,100.0
120,kênh hai ti vi,Giá 1 dậm là bao nhiêu?,150.0
121,này chúng tôi sắp nhổ neo,Tôi có thể thanh toán cho nó bằng đồng yên nhật không?,200.0
122,mở,Quý vị có bị đau hộng các triệu chứng cám lạnh hay cúm không?,1400.0
123,độc giả của tôi muốn hướng tới là sinh viên và trí thức,Một nghệ sĩ đích thực là phải lao động quần quật để mời gọi cảm hứng đến.,130.77
124,không mở cửa ồ ạt,Được tôi sẽ làm nó ngay.,120.0
125,tôi muốn đổi cái này lấy cái màu xanh,Vui lòng chả 10 đô la.,100.0
126,sống với em anh nhé,Thế dục chơi thể thao nơi không khí trong lành.,200.0
127,vừa gọi điện vừa đi lại rất gây hại cho sức khỏe,"Ngoài vài sân, bóng, đá, cầu long mà chúng tôi mới làm lại thì hầu như chẳng có gì mới.",158.33
128,tôi có thể tìm bảng tin ở đâu,Nhưng cũng có những bạn nằm kèo ở nhà chùm mềm và khóc nhè.,150.0
129,anh chuẩn bị toa này cho tôi được không,Mệt!,100.0
13,tôi có thể hẹn cho chiều mai không,Không phải có bàn chống cho 2 người không?,87.5
130,đây là địa chỉ của anh,Tổng số tiền là 243 pông thưa mẹ.,116.67
131,anh lắng nghe tôi một phút được không,"Hầu hết trường đầm ở bên sông, biển nên đã nắm.",137.5
132,lạm phát tăng là do dự báo yếu kém,Nhìn nó vậy mà giỏi nhỉ?,100.0
133,thịt gà nhồi hỗn hợp băm nhỏ,Tôi có thể nói mấy câu được không?,114.29
134,trung tá nguyễn phả lại cán bộ quản giáo trực tiếp buồng số bảy chỗ ở của ông mẫu ông dũng nói kín kẽ cũng là tâm lý của người cải tạo loại án như trường hợp ông dũng,"Tuy nhiên, các nhà khoa học, Châu Âu vẫn chưa vừa ý với kết quả này.",100.0
135,kí túc vắng tanh đèn thoát hiểm nhấp nháy chập chờn cứ như trên phim được xem ý,8 tổ chức công đoàn ở Đức tạo thành liên đoàn lao động Đức,100.0
136,mở,Đây là Hồi Chương cảnh Báo về sự mất an toàn lưới điện trên địa bàn.,1600.0
137,tốt nhất anh không nên làm nó,Nói chuyện chính trọng nghe ghê quá.,100.0
138,tôi có thể mua vé ở đâu,Tôi muốn nửa ta.,100.0
139,vậy điều gì ủng hộ ý tưởng táo bạo trên,Tôi cần một cái gì đó cho tao bỏ.,100.0
14,anh rửa hình kỹ thuật số ra được không,Hãy gọi cạnh sát ngay.,100.0
140,họ sẽ chơi nhiều ca khúc từ bộ phim âm thanh của âm nhạc,Anh có thể gọi tôi không?,100.0
141,mã vùng của Plymouth là không một bảy năm hai,Chúng ta không thể mua cái nào ở Nhật Bản.,100.0
142,không tôi luôn tỉ mỉ,Vâng đe vang Satchiko và Lumi sẽ có ở bữa tiệc.,220.0
143,một số trò chơi đòi hỏi các động tác chậm thận trọng hãy từ từ,Tình hình ở nước Anh thì ngược lại phê nào phê này thì nhau đã kích thủ tướng của mình.,133.33
144,có nên ưu tiên cho các hoạt động bí mật,Phòng có máy lạnh không?,100.0
145,nó là của anh,Họ thoải mái với việc người bạn đường phải nướp trong.,275.0
146,-N lỗ mũi hẹp -N có tài kiếm tiền,Cô gái kia yêu cầu gia đình không được báo với công an nếu không còn nguy hiểm tới tính mạng.,233.33
147,đây là ghi chép cho phí nào,Bàn đêm bắn cây đa,100.0
148,tôi bị các triệu chứng viêm phổi,Được thương ăn,100.0
149,còn bao nhiều giờ thì chúng ta sẽ đến New York,Nhà nước có thể hỗ trợ giá thuê bằng cách miễn giảm tiền sử dụng đất miễn giảm thuê.,172.73
15,tôi cố thu xếp thôi,Tôi có thể có một tạp trí khác không?,180.0
150,thị trường chính thức kém sôi động nên thị trường phi tập trung cũng ê ẩm,Vùi lòng mang cho tôi một ít giấy viết.,100.0
151,chúng tôi đã thuê căn hộ,Công an huyện quảng ngái đã chiều tập bố mẹ của Châu Linh là Nguyễn Văn Vĩnh và võ thị thụy để lấy lời khai.,400.0
152,mở lên,Bạn có những món hàng khác không?,350.0
153,cuộc tình đó tồn tại cho tới ngày cô ta -N khối tài sản mà ông giao phó rồi biến mất tăm,cho vừa với số kinh phí hạn hẹp của một bộ phim.,95.45
154,xin vui lòng hãy sẵn sàng vào lúc chín giờ rưỡi,TV giảm tiếng V1,100.0
155,tôi không nghĩ như vậy,thu hoạch và bảo quản lúa là khâu cuối cùng trong một mùa vụ.,280.0
156,cách dễ nhất là tìm người khác để yêu,Cha và gì cứ đổ riệt cho mẹ.,100.0
157,hãy tận dụng những gì có sẵn từ thiên nhiên để làm đẹp làn da,"Tuy nhiên sự việc, vừa đi qua đã chứng tỏ ông đã bắt đầu lo lắng cho an ninh của gia đình mình.",153.33
158,cô lấy cho tôi cái khăn nào,10 phút nữa vào giờ rưới.,100.0
159,lối đánh tấn công quen thuộc của chị biến mất thay vào đó là những đường bóng yếu ớt,Một thành phố như thế xứng đáng được ca tùng.,100.0
16,tôi không dùng ma túy,bán cho tôi 1 vẽ hạng 2 đến Chairman.,160.0
160,tôi có thể có bản đồ đường đi của đảo Maui không,Cả sân thiên trường ổ lên tiếc nuối.,100.0
161,tôi bị suyễn,Chúng ta có thể bắt đầu không?,233.33
162,thành ra càng cổ phần hóa ồ ạt càng bán giá nội bộ ồ ạt trừ phi có sẵn một cơ chế kiểm soát,"Phía bên phải cơ thể tôi bị đau, rất tệ.",100.0
163,nền tài chính nhật bản phụ thuộc khá lớn vào các chính sách tiền tệ của mỹ,Người dân ngán ngẫm với dịch vụ bệnh viện.,100.0
164,anh cất hành lý này cho tôi được không,Có cái gì gây ra cơn đau này không?,100.0
165,Obon nghĩa là gì,"Kịch sến nhiều tập làm tôi ỏi quá, tôi sẽ tắt từ vĩ.",325.0
166,tăng nhiệt độ lên hai mươi chín độ,Tôi cần phải về nhà bây giờ,100.0
167,kênh sáu,"Không chỉ có mức lương chung, bình thấp nhờ ở Đông, bắt á mà công đoàn độc lập cũng không hiện hữu ở nơi này.",1250.0
168,phờ phạc sau hành trình dài,Già Đình Bót cho biết bộ phim vì ý bán. Ông Đồng thời dọa sẽ kiện để bộ phim này không được phép chiếu.,400.0
169,mười hai giờ mười lăm rồi,Cần Hải TV,100.0
17,quân đội mỹ muốn chế tạo những máy tự động hoàn toàn vì những chiếc mà họ đang có vẫn cần được điều khiển bởi con người,Họ đã xét nghiệm máu cho chen nhưng mọi thứ vẫn hoàn toàn bình thường.,96.3
170,tiêu cực ương ngạnh,"Số tiền này dự định sẽ được dùng để đỡ gắn chi phí, an sinh xã hội cho các chủ doanh nghiệp và khuyến khích họ thuê thêm lao động.",750.0
171,tuy nhiên hôm qua ông đã phá lệ,Vui lòng cho tôi biết tàu sẽ khởi hành đúng giờ không?,150.0
172,phát triển,Bạn có biết hẹn hò?,250.0
173,cái xác cứ thế khô dần cho đến hôm nay,Mỉnh Thủy đối với nhà đầu tư trong nước kém ưu đại hơn so với đầu tư nước ngoài.,190.0
174,ti vi VTV hai,Đồng hồ tôi chậm 3 phút,150.0
175,nhóm cho rằng điều đó chứng tỏ phụ nữ tập trung hơn vào ngôn ngữ của sự hài hước,cô rê chỉ mén rộn và giấc mơ toàn cầu.,100.0
176,phòng quá ồn và tôi không thể ngủ được,Lên các cuộc hẹn phòng vấn và thực hiện phòng vấn.,122.22
177,những lãnh đạo cấp cao đang phải đối mặt với việc giảm lương đến mức nào hiện vẫn chưa rõ,Chính vì thế những người phải sống một thời gian dài trong không gian có thể gặp rụi ro.,95.0
178,xe mỹ từng là biểu tượng giàu sang,Tôi sẽ kêu tò thúc cho anh.,100.0
179,bữa ăn sinh viên từ lâu đã đơn giản lắm rồi giờ càng đơn giản hơn bao giờ hết,Khách hàng chờ nhận hành lý thách lạc.,100.0
18,tôi quên túi đeo vai trong xe tắc xi,Giá danh làm từ thiện lừa tiền người dân.,100.0
180,bệnh này có thường xảy ra không,Này chúng tôi sắp nhổ neo.,100.0
181,anh có đang thấy cầu vồng không,TV Tắt âm lượng,100.0
182,họ phải đảm bảo có đủ vắc xin và thực hiện các biện pháp cần thiết khác để đối phó với tình hình,Trường là người rất có kỹ luật nhưng làm việc hơi cấu thả một chút.,95.65
183,anh gọi đánh thức tôi lúc bảy giờ sáng mai được không,Có lẽ bạn đang nghĩ rằng bạn vẫn luôn cứ sử một cách đúng mực.,125.0
184,tự đăng cáo phó cho mình,Buộc tháo giỡ phần vi phạm ngay như quẩn bình thẳng.,183.33
185,anh thích kiểu nào hơn,Bạn sẽ chỉ huy một hạm đội gồm các tàu 9.9 hạm.,240.0
186,ánh đuốc hắt lên khoanh cổ cụt đỏ hỏn hụt hẫng,restored,100.0
187,xin lỗi anh có thể -N lĩnh tiền mặt cái này không,Tôi sẽ ở nhà một người bạn tại New York.,100.0
