id,ground_truth,XTTS,wer
1,cách để đi,T qualquer...... Đi.....,100.0
10,tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của anh được không,"Tôi có thể viết tên, địa chỉ số điện thoại của công ty bao hiểm của anh. Được không?",31.58
100,đầu gối có bị sưng đỏ hoặc cả hai,Đâu hồi có bị sinh ra hoặc ca hãi nên.,77.78
1000,một áp phích phim ấn độ,"mcious, ETF film Diese",100.0
101,hút thuốc bị hạn chế trong khu vực công cộng,Hút thuộc bị hạn chế trong nền hư vực công con.,50.0
102,chẳng phải là bệnh hiểm nghèo nhưng trĩ vẫn là bệnh gây khó chịu cho bệnh nhân bởi làm cản trở công việc của họ lúc làm việc cũng như lúc ngủ họ vẫn phải lo nghĩ giáo sư nghĩa nói,"Chẳng phải là bệnh nhìm nhèo, nhưng chỉ vẫn là bệnh gây khó chịu cho bệnh nhân về làm cạn cho công việc của họ. Lúc làm việc cũng như lúc mùa họ vẫn phải lo mỹ giá sư nhĩa nói.",34.15
103,chuyển máy cho ai,Chuyện này chào ai,75.0
104,kết quả lao động của tôi đến đâu thì tác phẩm trả lời,Kết quả là động của tôi đến đâu thì tác phẩm trà lời.,30.77
105,khi những chiếc đĩa được dỡ bỏ lũ hà mã cũng chẳng thèm chú ý tới những chiếc nhãn đó nữa,"Khi những chiếc điếc được sữa bỏ lũ hàm mã, cũng chẳng thêm truy tới những chiếc nhạn đó nữa.",47.62
106,không vậy không sao tôi sẽ gọi ông ấy sau cảm ơn,"Không vậy, không sao tôi sẽ gọi ông ấy sau cảm ơn.",25.0
107,có giảm giá cho người cao niên không,"có, giam giả, trong người cao niên, không, không.",87.5
108,hãy gọi cảnh sát ngay,actions,100.0
109,bắt đầu đếm,"Mặt đau, điểm, chờ.",133.33
11,đừng lo tôi vừa mới đến rồi,Đừng lá tôi vừa mới đến sôi.,42.86
110,anh có bị đau do mệt mỏi không,شang l horribly,100.0
111,lãi suất cho vay cũng đã giảm mạnh theo lãi huy động vốn lãi nhiều vẫn chẳng có người nào gửi cả,"Lại sớt cho vây cũng đã giảm mạnh theo lấy vi động vốn lãi nhiều, vẫn chẳng có người nào người cá.",36.36
112,các nhà khoa học đang tiến thêm một bước,Cá nhà hoa học đang tiến thêm một đứa.,33.33
113,cùng chuẩn và ngũ hai đối tượng khác chuyên làm nhiệm vụ đưa người sang trung quốc là nguyễn vũ hải và võ cảnh dũng cùng trú tại bắc giang cũng bị cảnh sát bắt,"Cùng chuẩn mà mũ hại đối tượng khác trên là miệng vụ đương người sang Trung Quốc, là miệng vũ hại và vó cảnh dũng cùng chú tại Bắc Sang, cũng bị cảnh sát bắt.",48.57
114,hệ thống phòng ngự tài năng và giàu kinh nghiệm,Hệ thống phòng ngữ Tài Năng và sau kinh niệm.,60.0
115,sẽ đủ sức cạnh tranh với nước ngoài,sẽ đủ sức cành tranh với nước ngoài.,25.0
116,giơ tay lên để đồng ý,"Dô tay lên để đồng nhá, y ý?",66.67
117,vui lòng trả mười đô la,"Vui lắm kìa, mươi đồ lạ.",100.0
118,đây là hồi chuông cảnh báo về sự mất an toàn lưới điện trên địa bàn,Đây là hồi trúng cảnh báo về sự mất an toàn lưới điện trên điện bản.,25.0
119,ban đêm bắng cây đa,Mẹ mình đêm đắng cây đẻ.,80.0
12,mười phút nữa vào giờ rưỡi,Người phút nữa vào giờ sửa ý trần.,66.67
120,kênh hai ti vi,"Bên la, thầy, ly, vi",100.0
121,này chúng tôi sắp nhổ neo,"Này chúng tôi, sớm nhỏ nèo",83.33
