id,ground_truth,F5-TTS-b,wer
1,cách để đi,Cảm ơn các bạn.,133.33
10,tôi có thể viết tên địa chỉ số điện thoại của công ty bảo hiểm của anh được không,"Hoàn ..."" Deo so crush"".",100.0
100,đầu gối có bị sưng đỏ hoặc cả hai,Quرو vرف Biden trên show emvero項 khẩn cũng bị hiring ước khi ch guarante disguiseTheMится,155.56
1000,một áp phích phim ấn độ,8th 4th challenge,100.0
101,hút thuốc bị hạn chế trong khu vực công cộng,Cô khỏi cắn mồm on.,100.0
102,chẳng phải là bệnh hiểm nghèo nhưng trĩ vẫn là bệnh gây khó chịu cho bệnh nhân bởi làm cản trở công việc của họ lúc làm việc cũng như lúc ngủ họ vẫn phải lo nghĩ giáo sư nghĩa nói,B prodis tu Manufacturing,100.0
103,chuyển máy cho ai,Ngay due tố,100.0
104,kết quả lao động của tôi đến đâu thì tác phẩm trả lời,sý cô tìm với t��하면 nabol,100.0
105,khi những chiếc đĩa được dỡ bỏ lũ hà mã cũng chẳng thèm chú ý tới những chiếc nhãn đó nữa,Choangled Chào về năm 2019. C glove,100.0
106,không vậy không sao tôi sẽ gọi ông ấy sau cảm ơn,County,100.0
107,có giảm giá cho người cao niên không,Thế mà tôi tangled...,100.0
108,hãy gọi cảnh sát ngay,Trced�� rற đượcBA performed .,100.0
109,bắt đầu đếm,các bạn Ain countdown Optical,166.67
11,đừng lo tôi vừa mới đến rồi,Xin chào tất cả các bạn.,100.0
110,anh có bị đau do mệt mỏi không,Chúng ta sẽ nói là,100.0
111,lãi suất cho vay cũng đã giảm mạnh theo lãi huy động vốn lãi nhiều vẫn chẳng có người nào gửi cả,Nhanh b 수� v annoying爾 mố,100.0
112,các nhà khoa học đang tiến thêm một bước,1 cái m buffet cũng đượcheits cứu rồi,100.0
113,cùng chuẩn và ngũ hai đối tượng khác chuyên làm nhiệm vụ đưa người sang trung quốc là nguyễn vũ hải và võ cảnh dũng cùng trú tại bắc giang cũng bị cảnh sát bắt,Bay Akh不到,100.0
114,hệ thống phòng ngự tài năng và giàu kinh nghiệm,S Wald hả?,100.0
115,sẽ đủ sức cạnh tranh với nước ngoài,"Thay cầm cầm, ta đã aisle th Efendi,",100.0
116,giơ tay lên để đồng ý,Nên ai hãy đi nhận đúng thể.,116.67
117,vui lòng trả mười đô la,Ta h chiff em vshot,100.0
118,đây là hồi chuông cảnh báo về sự mất an toàn lưới điện trên địa bàn,tui coi vào momencie là mäermo bê,100.0
119,ban đêm bắng cây đa,Hiện ảnh liên sạch tróng vào bí gian khó mai đàn ảnh gọt kị kinh hủy gấp.,340.0
12,mười phút nữa vào giờ rưỡi,Chồng bị có cạn khách đó.,100.0
120,kênh hai ti vi,"Kìa, I am bedtime all about you.",175.0
121,này chúng tôi sắp nhổ neo,Tuy سạo The Landトーム cho MB-MMBI and Vladimir Stling be offered.,183.33
122,mở,"Ở c treble không, xung b supporter không vai, mình làm cái cơ đó",1400.0
123,độc giả của tôi muốn hướng tới là sinh viên và trí thức,M 뽑 cord không b fingertips�로 옆 ti деньги,100.0
124,không mở cửa ồ ạt,Chplo然 anh đang obra c raises,120.0
125,tôi muốn đổi cái này lấy cái màu xanh,Vquently Hamb gang đ понимаю,100.0
126,sống với em anh nhé,Thờ đáy sẽ trải cố tao nên có cây trọn láo.,220.0
127,vừa gọi điện vừa đi lại rất gây hại cho sức khỏe,"Nên cầu ý viết sản bể còn, bài chiếu logo, miếng kia mấy chắc kinh từ khai mái lấm lấy lưu lát nạn đứa chỉ anh xa diện đau ạ.",250.0
128,tôi có thể tìm bảng tin ở đâu,Hình ơn SIA nhỉnh xíu nánh bên đen nguy hiểm của Huy Trọng Bệm vài tập xí hát.,225.0
129,anh chuẩn bị toa này cho tôi được không,Cảm ơn mà!,100.0
13,tôi có thể hẹn cho chiều mai không,Ng Héار Quang CCHS trói bán vui sau,100.0
130,đây là địa chỉ của anh,L이나 nào ch Heritage,100.0
131,anh lắng nghe tôi một phút được không,Lau corresponds t Shot until How to happen Thì Siz xin em đ tongue,175.0
132,lạm phát tăng là do dự báo yếu kém,Nên tính vào vài meter jack nữa,100.0
133,thịt gà nhồi hỗn hợp băm nhỏ,"Ch agua mề, n Bundint, Lo",100.0
134,trung tá nguyễn phả lại cán bộ quản giáo trực tiếp buồng số bảy chỗ ở của ông mẫu ông dũng nói kín kẽ cũng là tâm lý của người cải tạo loại án như trường hợp ông dũng,Ch remarks llô vi,100.0
135,kí túc vắng tanh đèn thoát hiểm nhấp nháy chập chờn cứ như trên phim được xem ý,Và đang llegm lại trí s alcanz đSta deserved temporary,100.0
136,mở,Lại lựa hài suy chô kinh thị tìm nấm bộ lô Vsys cầm đơn từ lão Eli Trinh trở ra hát bờ biên.,2300.0
137,tốt nhất anh không nên làm nó,Để nhớ Chính giá lệnh trăng yên nguyên Đen gặp qu hearing.,171.43
138,tôi có thể mua vé ở đâu,Đuanaía Harmonia,100.0
139,vậy điều gì ủng hộ ý tưởng táo bạo trên,Tiếng fightited đi qua,100.0
14,anh rửa hình kỹ thuật số ra được không,Hibiation by,100.0
140,họ sẽ chơi nhiều ca khúc từ bộ phim âm thanh của âm nhạc,Để em được đ Australians,100.0
141,mã vùng của Plymouth là không một bảy năm hai,Cho đã h logic c librarians,100.0
142,không tôi luôn tỉ mỉ,V pill V elevator,100.0
143,một số trò chơi đòi hỏi các động tác chậm thận trọng hãy từ từ,Bluetooth,100.0
144,có nên ưu tiên cho các hoạt động bí mật,Day 2,100.0
145,nó là của anh,BYBYV Hawaii ạ h vulner bump bần phần萎 lệnh bcas một th restaurante,325.0
146,-N lỗ mũi hẹp -N có tài kiếm tiền,"Các thứ rất khủng cả, cơ cài dùng chất đi dựa châm, cấu minh xỉ báo về quay càng càng càng cân kênh gám thát đi. À miếng cắn!",322.22
147,đây là ghi chép cho phí nào,Chín très nhiều,100.0
148,tôi bị các triệu chứng viêm phổi,Tạc  filament,100.0
149,còn bao nhiều giờ thì chúng ta sẽ đến New York,"Nào Nobody 5.V advent của Arturika obviousérid, THE THÁies 9.Vд. Ô b Mormont smartphone lmao Bay Happy k yere mbourg",181.82
15,tôi cố thu xếp thôi,Thị qunae,100.0
150,thị trường chính thức kém sôi động nên thị trường phi tập trung cũng ê ẩm,на lân manga ch shortened thì digital,100.0
151,chúng tôi đã thuê căn hộ,"Tuyệt không mang hành quay non cảnh cái tri bồ tạp y có lắm, có có chứ có lần lái ăn với rín vi, nhưng mà vi tập tập tế gì lần lần về có hãi?",600.0
152,mở lên,Be Gulmiş,100.0
153,cuộc tình đó tồn tại cho tới ngày cô ta -N khối tài sản mà ông giao phó rồi biến mất tăm,Ch勤 các 아닌 phúc viên trongquel mini cał biết của công hai.,100.0
154,xin vui lòng hãy sẵn sàng vào lúc chín giờ rưỡi,Từ lại với cầm thì cống tai đẻ mật.,100.0
155,tôi không nghĩ như vậy,Giverb administrations này có thể buraya ở trong倾kung THEY,180.0
